dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
37;6;2022-09-08;102;82;3;3;10
38;1;2022-09-08;774875;759561;492148;98087;543204
38;2;2022-09-08;122365;136542;188086;5891;211783
38;3;2022-09-08;90349;67419;87;0;36
38;4;2022-09-08;14313;83;23;0;34
38;5;2022-09-08;4897;3200;40;4;101
38;6;2022-09-08;137;97;12;18;24
39;1;2022-09-08;149208;145987;99028;18802;109357
39;2;2022-09-08;28749;31419;39067;1787;43741
39;3;2022-09-08;17796;14770;15;0;9
39;4;2022-09-08;3738;12;2;0;6
39;5;2022-09-08;797;522;2;2;7
39;6;2022-09-08;66;54;5;6;7
40;1;2022-09-08;272011;272499;191703;46747;199422
40;2;2022-09-08;39607;44207;74756;1983;79131
40;3;2022-09-08;33830;27657;31;0;7
40;4;2022-09-08;7121;38;3;0;21
40;5;2022-09-08;1170;754;10;2;14
40;6;2022-09-08;111;80;10;4;12
41;1;2022-09-08;202506;202222;148525;35852;156113
41;2;2022-09-08;35064;39653;57129;2788;62490
41;3;2022-09-08;25488;21895;48;0;18
41;4;2022-09-08;7484;11;3;0;3
41;5;2022-09-08;1210;843;8;22;13
41;6;2022-09-08;60;40;3;12;2
42;1;2022-09-08;483017;468342;307335;57434;348000
42;2;2022-09-08;49864;59922;83836;1987;98105
42;3;2022-09-08;47314;35615;32;0;12
42;4;2022-09-08;9562;46;5;0;16
42;5;2022-09-08;1717;1065;42;8;66
42;6;2022-09-08;80;50;3;0;9
43;1;2022-09-08;146443;144262;100064;14729;112011
43;2;2022-09-08;13853;15412;18567;292;21707
43;3;2022-09-08;13251;10227;15;0;4
43;4;2022-09-08;3397;11;0;0;2
43;5;2022-09-08;416;284;4;0;12
43;6;2022-09-08;22;15;1;3;3
44;1;2022-09-08;920500;919866;568442;130466;596068
44;2;2022-09-08;121651;137571;292273;5848;312132
44;3;2022-09-08;103595;82100;105;0;19
44;4;2022-09-08;21126;60;13;0;24
44;5;2022-09-08;7832;5078;79;12;101
44;6;2022-09-08;117;101;18;24;18
45;1;2022-09-08;427526;419207;260229;64936;276083
45;2;2022-09-08;54682;64421;131684;4396;143842
45;3;2022-09-08;42990;34845;35;0;5
45;4;2022-09-08;10143;26;3;0;10
45;5;2022-09-08;2956;2029;47;3;53
45;6;2022-09-08;139;106;8;3;13
46;1;2022-09-08;116967;116274;76382;17477;78667
46;2;2022-09-08;7405;8755;27165;650;28629
46;3;2022-09-08;9538;7828;2;0;5
46;4;2022-09-08;2285;10;1;0;3
46;5;2022-09-08;353;235;7;0;8
46;6;2022-09-08;46;37;0;1;1
47;1;2022-09-08;194218;192895;138786;28789;143281
47;2;2022-09-08;42048;45218;55289;1638;58797
47;3;2022-09-08;19164;16018;21;0;16
47;4;2022-09-08;6056;46;5;0;34
